Team,Rating
Arsenal,1064.9044717354661
Watford,956.5884876550124
Burnley,1065.2670338991782
Brighton,952.9765691228679
Chelsea,1041.3762112213728
Wolves,1029.3049801580635
Crystal Palace,940.9571794961762
Tottenham,1022.8134766902923
Everton,1005.5538823048738
Bournemouth,892.7112977264475
Leicester,967.9100915926088
Manchester Utd,1071.086347124164
Manchester City,1098.4090064128625
Norwich,881.5427068679942
Newcastle,973.1783792190611
Liverpool,1133.6902520102267
Southampton,1028.1365347565024
Sheffield Utd,1007.2421997732738
West Ham,947.9056847106272
Aston Villa,918.4452075229299
