Team,Rating
Liverpool,1205.6505632342244
Norwich,858.2186448063915
West Ham,919.2892035920377
Manchester City,1126.5080498109521
Watford,923.1257647719062
Brighton,945.5015878057368
Crystal Palace,989.3753131496661
Everton,1030.0965946087017
Burnley,1019.9296821523711
Southampton,972.6375309199794
Bournemouth,869.7228817488588
Sheffield Utd,1019.5361459727393
Tottenham,1002.0744068264497
Aston Villa,887.982567542708
Newcastle,999.5570138094065
Arsenal,1024.8917883846582
Leicester,1015.3325943896559
Wolves,1075.8337641977912
Manchester Utd,1077.1474212961866
Chelsea,1037.5884809795773
