Team,Rating
Liverpool,1150.2070821971126
Norwich,920.0514449035421
West Ham,945.6612512040026
Manchester City,1077.4869008393064
Watford,929.3180326646312
Brighton,970.2576746930384
Crystal Palace,978.322268626693
Everton,951.6658873646504
Burnley,1000.4979218888162
Southampton,926.5631601578075
Bournemouth,980.5367123741238
Sheffield Utd,1015.7275581397782
Tottenham,998.113628757018
Aston Villa,973.535317323085
Newcastle,982.055306000809
Arsenal,1003.5245708356971
Leicester,1096.3418146288152
Wolves,1031.2964975541734
Manchester Utd,1002.9329945227196
Chelsea,1065.9039753241802
