Team,Rating
Arsenal,997.186909868441
Watford,936.1161588970963
Burnley,984.8522822525744
Brighton,965.2514493771469
Chelsea,1038.3702303181306
Wolves,1050.1977265589746
Crystal Palace,945.3886041570007
Tottenham,1042.5167245114721
Everton,1001.2365016029215
Bournemouth,879.8507217402981
Leicester,1063.158313683334
Manchester Utd,1082.971599124357
Manchester City,1122.2555125978083
Norwich,847.1613136028157
Newcastle,1000.9212345819748
Liverpool,1220.7760429978848
Southampton,990.046597522274
Sheffield Utd,1028.1925621792852
West Ham,906.1717556732658
Aston Villa,897.3777587529444
