Team,Rating
Arsenal,1015.81427540909
Watford,971.2846608988493
Burnley,1016.6440404756764
Brighton,998.5901252972571
Chelsea,1024.7274795852218
Wolves,982.6656507608421
Crystal Palace,926.1186508224248
Tottenham,1056.7045227903
Everton,973.4638572708118
Bournemouth,989.3283717402823
Leicester,984.8793697031581
Manchester Utd,1059.9099251254474
Manchester City,1053.1123496004864
Norwich,912.4443009492452
Newcastle,945.9349096702139
Liverpool,1044.5172776855002
Southampton,1046.9351718557107
Sheffield Utd,990.3117286414104
West Ham,1008.0968575975662
Aston Villa,998.5164741205062
