Team,Rating
Liverpool,1201.1217954395659
Norwich,802.7916556220018
West Ham,946.3042646940307
Manchester City,1142.3815691019176
Watford,908.210791748621
Brighton,966.0614237537598
Crystal Palace,927.7448209575854
Everton,988.7507004870672
Burnley,1026.336729235345
Southampton,1025.2088725224378
Bournemouth,896.327560942463
Sheffield Utd,1001.827360520146
Tottenham,1052.2824252016712
Aston Villa,923.9177923281136
Newcastle,946.2197679586685
Arsenal,1037.732400522758
Leicester,998.336322100956
Wolves,1047.3332918448382
Manchester Utd,1103.1787493971913
Chelsea,1057.9317056208595
