Team,Rating
Liverpool,1158.589394774745
Norwich,923.8232299310545
West Ham,966.9876542012834
Manchester City,1073.199399844928
Watford,913.1911687559856
Brighton,961.8753621154062
Crystal Palace,995.3421106832304
Everton,941.968326023297
Burnley,983.4780798322788
Southampton,942.6900240664531
Bournemouth,965.3454694293081
Sheffield Utd,1016.4440547787175
Tottenham,1013.3048717018337
Aston Villa,974.8859087786988
Newcastle,986.3428069951875
Arsenal,999.7527858081847
Leicester,1106.0393759701687
Wolves,1030.5800009152342
Manchester Utd,1001.5824030671058
Chelsea,1044.5775723268994
