Team,Rating
Liverpool,1208.3600436327158
Norwich,820.699522052617
West Ham,923.7374714052044
Manchester City,1124.0153156492856
Watford,943.9232954375005
Brighton,942.5222193949824
Crystal Palace,942.0402119957928
Everton,997.2787178561352
Burnley,1039.339208135331
Southampton,1000.4176958548541
Bournemouth,892.0108565424615
Sheffield Utd,1054.3916719094818
Tottenham,1029.9636527877333
Aston Villa,895.7828750896228
Newcastle,966.0261399082801
Arsenal,1025.2392091960048
Leicester,1007.7905330635022
Wolves,1054.4879995937501
Manchester Utd,1087.9241559419113
Chelsea,1044.0492045528313
