Team,Rating
Arsenal,1011.6851043652318
Watford,953.3413365544924
Burnley,988.7919794391939
Brighton,955.9761890801387
Chelsea,1006.9224277135617
Wolves,1035.9081432124735
Crystal Palace,977.2879402857003
Tottenham,1043.7412395996912
Everton,1024.758949167446
Bournemouth,871.0611203756126
Leicester,1007.6912795744488
Manchester Utd,1096.1657942892916
Manchester City,1103.5769260938432
Norwich,857.31552305457
Newcastle,995.0356867150156
Liverpool,1186.9808212398782
Southampton,1034.578967036074
Sheffield Utd,1012.6401684963517
West Ham,936.6984184900826
Aston Villa,899.8419852169025
