Team,Rating
Arsenal,1003.7573951605461
Brighton,951.6798657609768
Aston Villa,1022.0456159973285
Chelsea,1059.96976834515
Fulham,893.8103583756701
Newcastle,939.187992961803
Leeds,998.0203531378863
West Brom,875.5068767270122
Leicester,1067.9688100561139
Tottenham,1089.1089446971494
Liverpool,1080.0638280578019
Crystal Palace,955.7086355917613
Manchester City,1151.9096805614467
Everton,1029.4569540392922
Sheffield Utd,805.2797423075515
Burnley,928.3924481378203
West Ham,1075.3545929156826
Southampton,999.9101386064192
Wolves,966.4675315959174
Manchester Utd,1106.4004669666701
