Team,Rating
Fulham,926.7979071092082
Arsenal,980.1698081999845
Crystal Palace,974.9895679220775
Southampton,1032.2436156641197
Liverpool,1069.0164294038136
Leeds,1002.3683338075964
West Ham,1033.7912911775752
Newcastle,1001.7161487967089
West Brom,929.9957503678603
Leicester,1021.6580095106017
Tottenham,1067.7369942336438
Everton,996.4836761506631
Sheffield Utd,879.3453888947232
Wolves,1030.0816131020722
Brighton,981.2291975737894
Chelsea,1052.8728829267327
Manchester Utd,1034.4867051490844
Burnley,938.7581675488811
Aston Villa,1004.6165481912091
Manchester City,1041.6419642696544
