Team,Rating
Arsenal,1027.5070517817064
Brighton,995.1085465217848
Aston Villa,984.9338629701714
Chelsea,1099.7995697748313
Fulham,939.6102602574593
Newcastle,983.471154643067
Leeds,1024.4213896801957
West Brom,933.7594641134856
Leicester,1015.7971428592513
Tottenham,1001.841122804042
Liverpool,1022.7770545110099
Crystal Palace,960.1995448963901
Manchester City,1128.79773322934
Everton,1009.160777592543
Sheffield Utd,914.2980139945596
Burnley,943.462691686743
West Ham,1034.0536248973733
Southampton,889.3765247907302
Wolves,1007.4750236128721
Manchester Utd,1084.149445382444
