Team,Rating
Arsenal,1039.9449737791292
Brighton,992.5621799386851
Aston Villa,974.77215280968
Chelsea,1075.2482629594388
Fulham,931.0497186766594
Newcastle,968.8840851451947
Leeds,1039.3284758986883
West Brom,926.4071580985725
Leicester,1034.3300219184653
Tottenham,986.804092830355
Liverpool,1018.3491474416044
Crystal Palace,964.9062158995447
Manchester City,1152.752429466964
Everton,993.074988722683
Sheffield Utd,930.5081743995513
Burnley,980.8284279850254
West Ham,1047.5107324930962
Southampton,879.5242144591887
Wolves,994.2345620798699
Manchester Utd,1068.9799849976043
