Team,Rating
Arsenal,1071.83600192471
Brighton,1003.8987902879799
Aston Villa,1010.8701158268128
Chelsea,1016.4946476864402
Fulham,938.4749336792306
Newcastle,1014.417290919728
Leeds,1039.0539060081924
West Brom,945.5210277402057
Leicester,970.7960876061621
Tottenham,1015.7863136398493
Liverpool,1071.8434634220828
Crystal Palace,990.2266412289133
Manchester City,998.6585694807742
Everton,986.9391093309124
Sheffield Utd,982.0810104288635
Burnley,958.5867122528624
West Ham,1025.4269656918475
Southampton,988.8644545450785
Wolves,970.4640223935182
Manchester Utd,999.759935905836
