Team,Rating
Arsenal,1041.4720121538278
Brighton,969.980409561637
Aston Villa,996.5217102776759
Chelsea,1031.1730537172218
Fulham,930.8974946677912
Newcastle,912.3645276364368
Leeds,1029.2435714157825
West Brom,913.799113360851
Leicester,1062.7100560210088
Tottenham,980.0007748634024
Liverpool,1017.1901381810893
Crystal Palace,954.3213020775856
Manchester City,1179.8130512777561
Everton,1060.726876396796
Sheffield Utd,875.4413460915493
Burnley,994.0628040673238
West Ham,1050.0896715734543
Southampton,919.43083056007
Wolves,959.8520663349678
Manchester Utd,1120.9091897637725
