Team,Rating
Arsenal,1003.3132587617847
Brighton,955.2133960969418
Aston Villa,996.7113182102175
Chelsea,1044.2141658211158
Fulham,935.2276911642178
Newcastle,946.2330868916406
Leeds,1016.9693964808424
West Brom,893.1870973747397
Leicester,1031.460837406886
Tottenham,1025.0567687161456
Liverpool,1043.4073632890902
Crystal Palace,935.7283158605564
Manchester City,1169.96967123167
Everton,1050.8785063212608
Sheffield Utd,844.8625571837338
Burnley,1003.2348733829781
West Ham,1073.0423317682737
Southampton,930.9930611452675
Wolves,951.784717339056
Manchester Utd,1148.5115855535819
