Team,Rating
Fulham,941.621865888384
Arsenal,978.9723737883359
Crystal Palace,982.8957939119932
Southampton,1028.053652746716
Liverpool,1090.4359712722865
Leeds,992.3925903831866
West Ham,1030.2997889936964
Newcastle,985.0668009127288
West Brom,895.2315950555096
Leicester,1042.4469714341692
Tottenham,1054.7194248978465
Everton,1035.6916333140325
Sheffield Utd,828.287469694962
Wolves,985.6492434364358
Brighton,938.8737069131894
Chelsea,1025.5234161649225
Manchester Utd,1096.8964524993498
Burnley,972.7840021009089
Aston Villa,1028.2306693177466
Manchester City,1065.9265772735992
