Team,Rating
Fulham,962.7050175265066
Arsenal,1015.39955558012
Crystal Palace,977.5153366803273
Southampton,934.9864342715847
Liverpool,993.0312449920856
Leeds,968.6397395669067
West Ham,1079.542021989196
Newcastle,922.2373090101263
West Brom,874.8869567980744
Leicester,1081.703765864634
Tottenham,1034.8489411860573
Everton,1018.6818516206357
Sheffield Utd,852.4901987946247
Wolves,985.8738063014963
Brighton,940.526924076058
Chelsea,1080.549850897432
Manchester Utd,1108.1666879511538
Burnley,987.0369119725217
Aston Villa,997.9477081567052
Manchester City,1183.2297367637518
