Team,Rating
Arsenal,1059.2888576379457
Brighton,1009.8442061461704
Aston Villa,980.3902996311895
Chelsea,1039.9245063310248
Fulham,919.8324045371386
Newcastle,1022.665514648844
Leeds,1054.6053336921052
West Brom,955.1138475281983
Leicester,986.2034348867287
Tottenham,1027.805303643341
Liverpool,1081.257802981232
Crystal Palace,951.8528444891799
Manchester City,1036.3037282220039
Everton,970.8004750579892
Sheffield Utd,940.6006571404422
Burnley,951.2729463694142
West Ham,1029.489482708147
Southampton,944.016257458255
Wolves,961.2057314410548
Manchester Utd,1077.5263654495948
