Team,Rating
Arsenal,1072.6386480692506
Brighton,986.0455896456415
Aston Villa,963.4015539562638
Chelsea,1072.8189300715349
Fulham,924.9058743844939
Newcastle,930.2581505414818
Leeds,1004.0601300895545
West Brom,924.3534727040465
Leicester,1054.9313340195815
Tottenham,1013.7893140636432
Liverpool,994.9090937802025
Crystal Palace,975.9040482376231
Manchester City,1182.4878260597607
Everton,995.0726105347759
Sheffield Utd,905.7568663879451
Burnley,971.0603868379753
West Ham,1075.794793687439
Southampton,900.7490393202921
Wolves,951.0874171207731
Manchester Utd,1099.9749204877207
