home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Burnley,Norwich,0,0,False,False,0.95,1.02,2.6,2.72,3.05,3.2,1633183200
Brighton,Arsenal,0,0,False,False,2.24,2.52,2.28,2.4,1.37,1.52,1633192200
West Ham,Brentford,1,2,False,True,0.78,0.88,2.73,2.85,3.82,4.13,1633266000
Tottenham,Aston Villa,2,1,True,False,1.1,1.17,2.43,2.5,2.71,3.06,1633266000
Crystal Palace,Leicester,2,2,False,False,1.84,1.9,2.28,2.37,1.64,1.75,1633266000
Liverpool,Manchester City,2,2,False,False,2.02,2.2,2.61,2.97,1.35,1.45,1633275000
Watford,Liverpool,0,5,False,True,8.0,8.89,4.56,4.88,0.34,0.36,1634383800
Southampton,Leeds,1,0,True,False,1.21,1.43,2.58,2.72,2.31,2.55,1634392800
Norwich,Brighton,0,0,False,False,2.98,3.25,2.47,2.69,1.02,1.17,1634392800
Manchester City,Burnley,2,0,True,False,0.14,0.16,8.26,9.0,20.4,25.0,1634392800
Leicester,Manchester Utd,4,2,True,False,2.66,2.9,2.78,2.97,1.02,1.14,1634392800
Aston Villa,Wolves,2,3,False,True,1.16,1.27,2.24,2.38,2.8,3.1,1634392800
Brentford,Chelsea,0,1,False,True,4.96,5.7,2.86,2.99,0.64,0.7,1634401800
Everton,West Ham,0,1,False,True,1.76,1.91,2.31,2.52,1.71,1.99,1634475600
Newcastle,Tottenham,2,3,False,True,2.61,2.9,2.63,2.71,1.07,1.13,1634484600
Arsenal,Crystal Palace,2,2,False,False,0.62,0.66,2.99,3.17,4.94,5.59,1634583600
Arsenal,Aston Villa,3,1,True,False,0.94,1.04,2.7,2.85,3.04,3.55,1634929200
Chelsea,Norwich,7,0,True,False,0.2,0.25,6.26,8.6,17.29,28.0,1634988600
Southampton,Burnley,2,2,False,False,0.96,1.09,2.65,2.8,2.98,3.39,1634997600
Leeds,Wolves,1,1,False,False,1.4,1.64,2.47,2.76,2.05,2.23,1634997600
Everton,Watford,2,5,False,True,0.73,0.84,2.85,3.5,4.15,5.0,1634997600
Crystal Palace,Newcastle,1,1,False,False,0.93,1.0,2.62,2.8,3.16,3.62,1634997600
Brighton,Manchester City,1,4,False,True,7.09,8.67,3.86,4.28,0.42,0.48,1635006600
West Ham,Tottenham,1,0,True,False,1.33,1.43,2.53,2.65,2.11,2.29,1635080400
