home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Liverpool,Norwich,4,1,True,False,0.14,0.15,8.62,9.5,18.56,22.0,1565377200
West Ham,Manchester City,0,5,False,True,10.35,12.0,5.51,6.0,0.26,0.27,1565436600
Watford,Brighton,0,3,False,True,1.07,1.13,2.26,2.38,3.08,3.2,1565445600
Crystal Palace,Everton,0,0,False,False,2.4,2.55,2.36,2.5,1.25,1.34,1565445600
Burnley,Southampton,3,0,True,False,1.66,1.71,2.2,2.26,1.87,1.95,1565445600
Bournemouth,Sheffield Utd,1,1,False,False,0.97,1.03,2.61,2.7,2.99,3.2,1565445600
Tottenham,Aston Villa,3,1,True,False,0.35,0.39,4.38,4.7,7.82,8.6,1565454600
Newcastle,Arsenal,0,1,False,True,2.4,2.76,2.53,2.65,1.19,1.25,1565528400
Leicester,Wolves,0,0,False,False,1.39,1.5,2.16,2.25,2.32,2.58,1565528400
Manchester Utd,Chelsea,4,0,True,False,1.03,1.1,2.39,2.5,3.05,3.4,1565537400
Arsenal,Burnley,2,1,True,False,0.35,0.38,4.33,4.6,8.12,9.0,1566041400
Southampton,Liverpool,1,2,False,True,5.67,6.4,3.52,3.64,0.49,0.53,1566050400
Norwich,Newcastle,3,1,True,False,1.14,1.25,2.43,2.57,2.57,2.86,1566050400
Everton,Watford,1,0,True,False,0.82,0.86,2.71,2.88,3.53,3.84,1566050400
Brighton,West Ham,1,1,False,False,1.2,1.3,2.43,2.6,2.41,2.74,1566050400
Aston Villa,Bournemouth,1,2,False,True,1.26,1.3,2.62,2.69,2.11,2.2,1566050400
Manchester City,Tottenham,2,2,False,False,0.36,0.39,4.46,4.7,7.1,7.7,1566059400
Sheffield Utd,Crystal Palace,1,0,True,False,1.51,1.57,2.24,2.33,2.01,2.1,1566133200
Chelsea,Leicester,1,1,False,False,0.71,0.76,2.82,2.9,4.16,4.7,1566142200
Wolves,Manchester Utd,1,1,False,False,2.03,2.24,2.3,2.38,1.46,1.56,1566241200
Aston Villa,Everton,2,0,True,False,2.05,2.26,2.42,2.72,1.39,1.48,1566586800
Norwich,Chelsea,2,3,False,True,3.28,3.66,2.86,2.95,0.83,0.89,1566646200
Watford,West Ham,1,3,False,True,1.19,1.25,2.53,2.62,2.34,2.48,1566655200
Sheffield Utd,Leicester,1,2,False,True,2.29,2.64,2.28,2.38,1.32,1.44,1566655200
Manchester Utd,Crystal Palace,1,2,False,True,0.34,0.37,4.34,4.6,8.31,9.0,1566655200
Brighton,Southampton,0,2,False,True,1.33,1.42,2.29,2.35,2.27,2.44,1566655200
Liverpool,Arsenal,3,1,True,False,0.47,0.5,3.96,4.12,5.34,5.74,1566664200
Bournemouth,Manchester City,1,3,False,True,15.56,18.0,7.23,8.5,0.17,0.18,1566738000
Wolves,Burnley,1,1,False,False,0.78,0.82,2.48,2.6,4.28,4.6,1566747000
Tottenham,Newcastle,0,1,False,True,0.27,0.3,5.07,5.35,10.05,11.5,1566747000
Southampton,Manchester Utd,1,1,False,False,3.12,3.56,2.51,2.6,0.95,1.04,1567251000
West Ham,Norwich,2,0,True,False,0.88,0.94,3.01,3.12,2.84,3.22,1567260000
Newcastle,Watford,1,1,False,False,1.52,1.6,2.21,2.28,2.02,2.28,1567260000
Manchester City,Brighton,4,0,True,False,0.09,0.1,10.19,12.06,29.65,37.0,1567260000
Leicester,Bournemouth,3,1,True,False,0.67,0.75,3.03,3.2,4.19,4.9,1567260000
Crystal Palace,Aston Villa,1,0,True,False,1.26,1.32,2.41,2.46,2.29,2.42,1567260000
Chelsea,Sheffield Utd,2,2,False,False,0.39,0.44,3.84,4.3,7.45,8.5,1567260000
Burnley,Liverpool,0,3,False,True,7.98,8.8,4.4,4.77,0.34,0.36,1567269000
Everton,Wolves,3,2,True,False,1.05,1.08,2.27,2.36,3.04,3.2,1567342800
Arsenal,Tottenham,2,2,False,False,1.56,1.63,2.64,2.74,1.68,1.87,1567351800
Liverpool,Newcastle,3,1,True,False,0.19,0.22,6.55,7.0,13.97,16.5,1568460600
Wolves,Chelsea,2,5,False,True,2.05,2.15,2.4,2.46,1.39,1.44,1568469600
Tottenham,Crystal Palace,4,0,True,False,0.41,0.45,3.95,4.15,6.76,7.5,1568469600
Sheffield Utd,Southampton,0,1,False,True,1.47,1.55,2.26,2.38,2.04,2.18,1568469600
