Team,Rating
Fulham,954.1632457797655
Arsenal,1014.5981711137829
Crystal Palace,998.464567144416
Southampton,984.7701398146427
Liverpool,1047.9323273572415
Leeds,1014.5641271217237
West Ham,986.8382212862026
Newcastle,998.598171113783
West Brom,970.8718751773815
Leicester,1046.5950719527063
Tottenham,999.9323273572415
Everton,1059.7450185032371
Sheffield Utd,954.1721796717983
Wolves,981.8949734492509
Brighton,971.5187494809502
Chelsea,1015.362987598416
Manchester Utd,1001.5063036245743
Burnley,967.9661669788793
Aston Villa,1029.1004474267124
Manchester City,1001.4049280472937
