home-name,away-name,home-elo,away-elo,home-win-odds,draw-odds,away-win-odds,home-result,away-result,match-date,epoch_time,home-win-elo,draw-elo,away-win-elo,home_win_elo_bookies_draw_odds,away_win_elo_bookies_draw_odds,draw_elo_bookies_draw_odds
Norwich,Chelsea,983.2975328274754,1001.4387739660466,0.23364485981308414,0.2590673575129534,0.5464480874316939,2,3,2019-08-24 12:30:00,1566646200.0,0.5219520991413948,0.0,0.47804790085860516,0.38673134806849463,0.35420129441855197,0.2590673575129534
Watford,West Ham,953.5063036245743,1000.6995046979231,0.4566210045662101,0.28328611898017,0.29940119760479045,1,3,2019-08-24 15:00:00,1566655200.0,0.47593759902961263,0.0,0.5240624009703874,0.34111108372377336,0.37560279729605667,0.28328611898017
Sheffield Utd,Leicester,999.2298601853573,1016.0338330211207,0.303951367781155,0.3048780487804878,0.43103448275862066,1,2,2019-08-24 15:00:00,1566655200.0,0.5240668692075853,0.0,0.4759331307924147,0.36429038469307756,0.3308315665264346,0.3048780487804878
Manchester Utd,Crystal Palace,997.8278203282017,1001.4358728782763,0.7462686567164178,0.18726591760299627,0.10741138560687433,1,2,2019-08-24 15:00:00,1566655200.0,0.5448710274461341,0.0,0.45512897255386586,0.44283525451614647,0.36989882788085726,0.18726591760299627
Brighton,Southampton,996.466920433496,987.533079566504,0.4291845493562232,0.303951367781155,0.3058103975535168,0,2,2019-08-24 15:00:00,1566655200.0,0.5644868136727662,0.0,0.4355131863272338,0.39291027456250294,0.3031383576563421,0.303951367781155
Liverpool,Arsenal,1046.5981711137829,1015.9323273572415,0.6802721088435374,0.20161290322580647,0.15772870662460567,3,1,2019-08-24 17:30:00,1566664200.0,0.497885229913797,0.0,0.502114770086203,0.39750514323762826,0.40088195353656525,0.20161290322580647
Bournemouth,Manchester City,999.2976013366472,1031.9660918698307,0.06038647342995168,0.12150668286755771,0.8547008547008548,1,3,2019-08-25 14:00:00,1566738000.0,0.4989403709322129,0.0,0.5010596290677871,0.4383157815115309,0.4401775356209114,0.12150668286755771
Wolves,Burnley,1000.7023986633528,1000.0339081301692,0.5617977528089888,0.28735632183908044,0.1893939393939394,1,1,2019-08-25 16:30:00,1566747000.0,0.5010596290677871,0.0,0.4989403709322129,0.3570769770368138,0.35556670112410577,0.28735632183908044
Tottenham,Newcastle,997.8034754597227,986.1965245402773,0.7874015748031495,0.16474464579901152,0.09049773755656108,0,1,2019-08-25 16:30:00,1566747000.0,0.5686413918836677,0.0,0.4313586081163323,0.47496076719113595,0.36029458700985256,0.16474464579901152
Southampton,Manchester Utd,988.0070312009824,997.3538686937233,0.24271844660194175,0.2849002849002849,0.5128205128205129,1,1,2019-08-31 12:30:00,1567251000.0,0.4851890114225495,0.0,0.5148109885774506,0.3469585238377776,0.3681411912619376,0.2849002849002849
