home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max
Arsenal,Everton,5,1,True,False,0.34,0.36,4.55,4.88,8.02,9.0
Brentford,Leeds,1,2,False,True,1.35,1.43,2.81,2.94,1.89,2.12
Brighton,West Ham,3,1,True,False,1.65,1.9,2.48,2.58,1.7,1.86
Burnley,Newcastle,1,2,False,True,1.46,1.55,2.32,2.67,2.05,2.2
Chelsea,Watford,2,1,True,False,0.19,0.22,6.63,7.3,15.48,18.0
Crystal Palace,Manchester Utd,1,0,True,False,1.83,2.01,2.52,2.61,1.52,1.59
Leicester,Southampton,4,1,True,False,0.71,0.77,3.31,3.45,3.52,3.76
Liverpool,Wolves,3,1,True,False,0.15,0.17,8.22,9.9,17.51,20.0
Manchester City,Aston Villa,3,2,True,False,0.17,0.2,7.33,7.8,15.41,18.0
Norwich,Tottenham,0,5,False,True,9.21,11.0,4.69,5.25,0.31,0.35
Aston Villa,Burnley,1,1,False,False,1.04,1.1,2.48,2.91,2.88,3.1
Chelsea,Leicester,1,1,False,False,0.43,0.45,3.94,4.26,6.61,7.17
Everton,Crystal Palace,3,2,True,False,0.86,0.9,2.56,2.9,3.67,3.95
Southampton,Liverpool,1,2,False,True,5.62,6.3,3.96,4.25,0.47,0.51
Newcastle,Arsenal,2,0,True,False,3.34,3.7,2.87,3.1,0.83,0.9
Everton,Brentford,2,3,False,True,0.92,0.99,2.59,2.84,3.22,3.72
Aston Villa,Crystal Palace,1,1,False,False,0.9,1.09,2.55,2.66,3.41,3.99
Leeds,Brighton,1,1,False,False,1.66,1.75,2.46,2.63,1.7,1.88
Watford,Leicester,1,5,False,True,4.1,4.54,2.99,3.2,0.7,0.76
West Ham,Manchester City,2,2,False,False,6.95,7.7,4.22,4.45,0.4,0.42
Wolves,Norwich,1,1,False,False,0.54,0.57,3.48,3.7,5.12,6.0
Tottenham,Burnley,1,0,True,False,0.32,0.33,4.63,4.8,9.18,10.0
Tottenham,Arsenal,3,0,True,False,1.28,1.35,2.51,2.6,2.25,2.34
Wolves,Manchester City,1,5,False,True,11.21,13.0,5.23,5.75,0.26,0.3
