home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Crystal Palace,Arsenal,0,2,False,True,3.64,4.01,2.58,2.69,0.84,0.89,1659726000
Fulham,Liverpool,2,2,False,False,9.42,10.95,5.18,5.93,0.29,0.3,1659785400
Tottenham,Southampton,4,1,True,False,0.37,0.39,4.23,4.4,7.49,8.5,1659794400
Newcastle,Nottingham,2,0,True,False,0.59,0.67,3.05,3.22,5.13,5.6,1659794400
Leeds,Wolves,2,1,True,False,1.43,1.48,2.36,2.55,2.04,2.18,1659794400
Bournemouth,Aston Villa,2,0,True,False,3.0,3.25,2.51,2.63,0.99,1.06,1659794400
Everton,Chelsea,0,1,False,True,5.45,6.08,3.08,3.3,0.57,0.64,1659803400
Manchester Utd,Brighton,1,2,False,True,0.77,0.81,2.8,2.94,3.76,4.0,1659877200
Leicester,Brentford,2,2,False,False,0.93,1.01,2.68,2.88,3.07,3.4,1659877200
West Ham,Manchester City,0,2,False,True,6.83,7.5,4.26,4.55,0.39,0.42,1659886200
Aston Villa,Everton,2,1,True,False,0.78,0.81,2.59,2.69,4.02,4.37,1660390200
Wolves,Fulham,0,0,False,False,1.23,1.29,2.41,2.48,2.41,2.59,1660399200
Southampton,Leeds,2,2,False,False,1.45,1.57,2.55,2.64,1.88,2.0,1660399200
Manchester City,Bournemouth,4,0,True,False,0.08,0.09,11.73,14.0,29.37,40.0,1660399200
Brighton,Newcastle,0,0,False,False,1.45,1.56,2.28,2.38,2.08,2.21,1660399200
Arsenal,Leicester,4,2,True,False,0.57,0.6,3.4,3.7,4.91,5.25,1660399200
Brentford,Manchester Utd,4,0,True,False,3.42,4.05,2.82,3.09,0.84,0.96,1660408200
Nottingham,West Ham,1,0,True,False,3.07,3.48,2.62,2.7,0.94,1.0,1660482000
Chelsea,Tottenham,2,2,False,False,1.16,1.25,2.5,2.58,2.5,2.65,1660491000
Liverpool,Crystal Palace,1,1,False,False,0.28,0.3,5.13,6.0,10.78,13.5,1660590000
Tottenham,Wolves,1,0,True,False,0.45,0.48,3.79,4.05,6.29,7.5,1660995000
Leicester,Southampton,1,2,False,True,0.78,0.92,3.08,3.2,3.34,3.6,1661004000
Fulham,Brentford,3,2,True,False,1.68,1.75,2.39,2.49,1.72,1.8,1661004000
Everton,Nottingham,1,1,False,False,0.91,0.99,2.52,2.7,3.34,3.62,1661004000
Crystal Palace,Aston Villa,3,1,True,False,1.49,1.56,2.21,2.28,2.09,2.23,1661004000
Bournemouth,Arsenal,0,3,False,True,6.48,7.19,3.73,3.9,0.45,0.48,1661013000
West Ham,Brighton,0,2,False,True,1.51,1.6,2.38,2.5,1.93,2.24,1661086800
Leeds,Chelsea,3,0,True,False,4.97,5.3,3.61,3.84,0.53,0.57,1661086800
Newcastle,Manchester City,3,3,False,False,5.92,6.5,3.92,4.2,0.46,0.48,1661095800
Manchester Utd,Liverpool,2,1,True,False,3.65,3.83,3.38,3.6,0.69,0.74,1661194800
Southampton,Manchester Utd,0,1,False,True,2.74,3.3,2.93,3.1,0.95,1.07,1661599800
Manchester City,Crystal Palace,4,2,True,False,0.2,0.2,6.54,7.0,14.39,16.79,1661608800
Liverpool,Bournemouth,9,0,True,False,0.15,0.16,8.04,10.0,17.76,22.0,1661608800
Chelsea,Leicester,2,1,True,False,0.41,0.45,4.09,4.35,6.75,7.5,1661608800
Brighton,Leeds,1,0,True,False,0.76,0.92,2.9,3.0,3.78,4.25,1661608800
Brentford,Everton,1,1,False,False,1.1,1.19,2.45,2.6,2.72,2.91,1661608800
Arsenal,Fulham,2,1,True,False,0.39,0.42,4.38,4.8,6.68,8.5,1661617800
Wolves,Newcastle,1,1,False,False,1.54,1.7,2.32,2.46,1.92,2.0,1661691600
Aston Villa,West Ham,0,1,False,True,1.13,1.23,2.45,2.62,2.65,2.81,1661691600
Nottingham,Tottenham,0,2,False,True,5.87,6.53,3.77,4.05,0.47,0.51,1661700600
Fulham,Brighton,2,1,True,False,2.33,2.45,2.27,2.34,1.33,1.44,1661884200
Crystal Palace,Brentford,1,1,False,False,1.09,1.16,2.46,2.6,2.72,2.94,1661884200
Southampton,Chelsea,2,1,True,False,4.16,4.57,3.11,3.27,0.67,0.71,1661885100
Leeds,Everton,1,1,False,False,1.12,1.17,2.6,2.7,2.49,2.75,1661886000
Manchester City,Nottingham,6,0,True,False,0.1,0.12,10.88,12.0,24.84,33.0,1661970600
Bournemouth,Wolves,0,0,False,False,2.3,2.4,2.27,2.44,1.34,1.43,1661970600
Arsenal,Aston Villa,2,1,True,False,0.55,0.59,3.44,3.6,4.95,5.27,1661970600
West Ham,Tottenham,1,1,False,False,2.31,2.76,2.57,2.72,1.18,1.3,1661971500
Liverpool,Newcastle,2,1,True,False,0.29,0.36,5.22,5.8,9.19,10.5,1661972400
Leicester,Manchester Utd,0,1,False,True,2.26,2.56,2.77,2.88,1.17,1.25,1662058800
Everton,Liverpool,0,0,False,False,6.66,7.28,4.17,4.4,0.4,0.44,1662204600
Wolves,Southampton,1,0,True,False,1.15,1.2,2.45,2.58,2.49,2.75,1662213600
