home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max
Watford,Sheffield Utd,0,0,False,False,1.35,1.44,2.28,2.4,2.25,2.32
Norwich,Aston Villa,1,5,False,True,1.41,1.47,2.63,2.7,1.86,1.91
Liverpool,Leicester,2,1,True,False,0.58,0.62,3.35,3.5,4.74,5.1
Burnley,Everton,1,0,True,False,2.19,2.26,2.24,2.35,1.4,1.45
West Ham,Crystal Palace,1,2,False,True,1.0,1.05,2.64,2.75,2.77,2.88
Southampton,Chelsea,1,4,False,True,3.67,4.2,3.21,3.5,0.7,0.75
Manchester City,Wolves,0,2,False,True,0.14,0.15,7.85,9.0,19.61,23.0
Arsenal,Bournemouth,1,0,True,False,0.36,0.4,4.64,4.95,6.69,7.4
Newcastle,Manchester Utd,1,0,True,False,2.95,3.18,2.31,2.4,1.06,1.12
Everton,West Ham,2,0,True,False,0.8,0.87,3.0,3.15,3.29,3.5
Wolves,Southampton,1,1,False,False,1.03,1.11,2.29,2.48,3.08,3.25
Tottenham,Watford,1,1,False,False,0.49,0.54,3.5,3.75,5.79,6.1
Leicester,Burnley,2,1,True,False,0.5,0.55,3.36,3.5,6.0,6.5
Chelsea,Newcastle,1,0,True,False,0.28,0.3,4.96,5.4,10.04,11.0
Bournemouth,Norwich,0,0,False,False,0.74,0.78,3.23,3.4,3.4,3.62
Aston Villa,Brighton,2,1,True,False,1.36,1.43,2.47,2.58,2.05,2.32
Crystal Palace,Manchester City,0,2,False,True,10.85,13.0,6.25,7.0,0.22,0.25
Manchester Utd,Liverpool,1,1,False,False,3.05,3.25,2.54,2.68,0.96,1.01
Sheffield Utd,Arsenal,1,0,True,False,2.73,2.96,2.58,2.68,1.03,1.12
Southampton,Leicester,0,9,False,True,2.14,2.25,2.37,2.52,1.36,1.46
Manchester City,Aston Villa,3,0,True,False,0.08,0.1,12.34,16.0,26.23,32.5
West Ham,Sheffield Utd,1,1,False,False,1.26,1.31,2.42,2.48,2.29,2.4
Watford,Bournemouth,0,0,False,False,1.27,1.36,2.56,2.71,2.12,2.28
Brighton,Everton,3,2,True,False,1.65,1.76,2.32,2.4,1.76,1.85
Burnley,Chelsea,2,4,False,True,4.06,4.7,3.04,3.2,0.69,0.75
Newcastle,Wolves,1,1,False,False,2.38,2.55,2.1,2.2,1.39,1.45
Norwich,Manchester Utd,1,3,False,True,3.62,4.05,2.74,2.9,0.79,0.83
Liverpool,Tottenham,2,1,True,False,0.48,0.55,3.78,4.04,5.43,6.3
Arsenal,Crystal Palace,2,2,False,False,0.48,0.51,3.7,3.88,5.57,6.2
Bournemouth,Manchester Utd,1,0,True,False,2.65,2.96,2.56,2.66,1.07,1.15
West Ham,Newcastle,2,3,False,True,0.82,0.89,2.77,2.91,3.41,3.6
Sheffield Utd,Burnley,3,0,True,False,1.26,1.31,2.22,2.34,2.46,2.62
Manchester City,Southampton,2,1,True,False,0.08,0.1,11.78,14.0,29.23,35.78
Brighton,Norwich,2,0,True,False,0.6,0.75,3.37,3.56,4.37,4.8
Aston Villa,Liverpool,1,2,False,True,8.26,9.5,4.96,5.57,0.31,0.35
Arsenal,Wolves,1,1,False,False,0.75,0.78,2.86,3.0,3.75,4.1
Watford,Chelsea,1,2,False,True,4.15,4.34,3.31,3.45,0.63,0.65
