home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Manchester Utd,Arsenal,0,1,False,True,0.99,1.06,2.61,2.72,2.89,3.0,1604248200
Tottenham,Brighton,2,1,True,False,0.58,0.61,3.27,3.45,4.85,5.39,1604258100
Fulham,West Brom,2,0,True,False,1.44,1.48,2.27,2.39,2.09,2.22,1604338200
Leeds,Leicester,1,4,False,True,1.43,1.58,2.63,2.83,1.83,1.97,1604347200
Brighton,Burnley,0,0,False,False,1.02,1.69,2.42,2.5,3.14,3.5,1604683800
Southampton,Newcastle,2,0,True,False,1.15,1.28,2.49,2.65,2.51,2.91,1604692800
Everton,Manchester Utd,1,3,False,True,2.19,2.35,2.63,2.86,1.24,1.38,1604752200
Crystal Palace,Leeds,4,1,True,False,1.86,2.04,2.45,2.57,1.5,1.55,1604761200
Chelsea,Sheffield Utd,4,1,True,False,0.38,0.4,3.98,4.16,7.83,8.8,1604770200
West Ham,Fulham,1,0,True,False,0.85,0.9,2.81,2.96,3.21,3.38,1604779200
West Brom,Tottenham,0,1,False,True,5.57,6.0,3.65,3.77,0.49,0.52,1604836800
Leicester,Wolves,1,0,True,False,1.34,1.47,2.18,2.29,2.38,2.65,1604844000
Manchester City,Liverpool,1,1,False,False,0.93,0.99,3.19,3.49,2.62,2.8,1604853000
Arsenal,Aston Villa,0,3,False,True,0.65,0.68,3.33,3.58,4.08,4.55,1604862900
Newcastle,Chelsea,0,2,False,True,6.14,7.0,3.77,4.1,0.45,0.5,1605961800
Aston Villa,Brighton,1,2,False,True,1.29,1.4,2.56,2.73,2.13,2.45,1605970800
Tottenham,Manchester City,2,0,True,False,3.16,3.32,3.11,3.35,0.81,0.86,1605979800
Manchester Utd,West Brom,1,0,True,False,0.32,0.35,4.76,5.05,8.17,9.0,1605988800
Fulham,Everton,2,3,False,True,3.27,3.68,2.8,2.9,0.85,0.9,1606046400
Sheffield Utd,West Ham,0,1,False,True,2.14,2.37,2.21,2.27,1.44,1.56,1606053600
Leeds,Arsenal,0,0,False,False,2.47,2.67,2.8,2.95,1.05,1.14,1606062600
Liverpool,Leicester,3,0,True,False,0.78,0.83,3.1,3.4,3.31,3.6,1606072500
Burnley,Crystal Palace,1,0,True,False,1.67,1.8,2.11,2.16,1.92,2.01,1606152600
Wolves,Southampton,1,1,False,False,1.34,1.4,2.23,2.32,2.3,2.41,1606161600
Crystal Palace,Newcastle,0,2,False,True,1.16,1.2,2.21,2.28,2.8,2.96,1606507200
Brighton,Liverpool,1,1,False,False,3.89,4.13,3.23,3.42,0.67,0.71,1606566600
Manchester City,Burnley,5,0,True,False,0.13,0.15,8.96,10.08,19.06,23.0,1606575600
Everton,Leeds,0,1,False,True,1.28,1.38,2.67,2.84,2.05,2.23,1606584600
West Brom,Sheffield Utd,1,0,True,False,1.66,1.72,2.16,2.27,1.88,2.02,1606593600
Southampton,Manchester Utd,2,3,False,True,2.89,3.18,2.72,2.86,0.95,0.97,1606658400
Chelsea,Tottenham,0,0,False,False,1.03,1.15,2.64,2.75,2.73,2.89,1606667400
Arsenal,Wolves,1,2,False,True,1.08,1.15,2.32,2.44,2.87,3.15,1606677300
Leicester,Fulham,1,2,False,True,0.6,0.68,3.16,3.3,4.75,5.49,1606757400
West Ham,Aston Villa,2,1,True,False,1.34,1.39,2.51,2.6,2.05,2.12,1606766400
Burnley,Everton,1,1,False,False,2.8,3.19,2.55,2.68,1.03,1.1,1607171400
Manchester City,Fulham,2,0,True,False,0.12,0.14,9.2,11.1,20.7,28.0,1607180400
West Ham,Manchester Utd,1,3,False,True,2.4,2.63,2.5,2.57,1.17,1.25,1607189400
Chelsea,Leeds,3,1,True,False,0.47,0.49,3.96,4.15,5.36,5.65,1607198400
West Brom,Crystal Palace,1,5,False,True,2.0,2.14,2.3,2.48,1.47,1.56,1607256000
Sheffield Utd,Leicester,1,2,False,True,3.09,3.34,2.54,2.67,0.96,1.0,1607264100
Tottenham,Arsenal,2,0,True,False,1.19,1.3,2.5,2.66,2.39,2.56,1607272200
Liverpool,Wolves,4,0,True,False,0.59,0.61,3.3,3.44,4.67,5.1,1607282100
Brighton,Southampton,1,2,False,True,1.45,1.51,2.4,2.48,1.97,2.1,1607371200
Leeds,West Ham,1,2,False,True,1.14,1.2,2.76,2.85,2.27,2.39,1607716800
Wolves,Aston Villa,0,1,False,True,1.57,1.65,2.26,2.34,1.91,2.0,1607776200
Newcastle,West Brom,2,1,True,False,1.45,1.5,2.26,2.33,2.11,2.24,1607785200
Manchester Utd,Manchester City,0,0,False,False,3.62,3.8,3.22,3.43,0.71,0.76,1607794200
Everton,Chelsea,1,0,True,False,3.77,3.99,3.28,3.43,0.68,0.71,1607803200
Southampton,Sheffield Utd,3,0,True,False,0.64,0.67,3.01,3.25,4.49,4.81,1607860800
Crystal Palace,Tottenham,1,1,False,False,3.2,3.35,2.81,2.93,0.85,0.9,1607868900
Fulham,Liverpool,1,1,False,False,7.35,8.3,4.53,4.8,0.35,0.38,1607877000
Leicester,Brighton,3,0,True,False,1.03,1.12,2.55,2.6,2.79,3.07,1607886900
Arsenal,Burnley,0,1,False,True,0.45,0.49,3.68,3.83,6.49,7.65,1607886900
Wolves,Chelsea,2,1,True,False,4.45,4.79,2.8,3.06,0.69,0.73,1608055200
Manchester City,West Brom,1,1,False,False,0.1,0.11,10.24,11.6,23.8,28.4,1608062400
Leicester,Everton,0,2,False,True,1.13,1.19,2.52,2.87,2.51,2.75,1608141600
Leeds,Newcastle,5,2,True,False,0.6,0.64,3.39,3.55,4.41,4.86,1608141600
Arsenal,Southampton,1,1,False,False,1.17,1.23,2.51,2.6,2.4,2.55,1608141600
