home-name,away-name,home-elo,away-elo,home-win-odds,draw-odds,away-win-odds,home-result,away-result,match-date,epoch_time,home-win-elo,draw-elo,away-win-elo,home_win_elo_bookies_draw_odds,away_win_elo_bookies_draw_odds,draw_elo_bookies_draw_odds
Brentford,Arsenal,1016.0,984.0,0.2518891687657431,0.303951367781155,0.48309178743961345,2,0,2021-08-13 20:00:00,1628881200.0,0.5,0.0,0.5,0.3480243161094225,0.3480243161094225,0.303951367781155
Manchester Utd,Leeds,1016.0,984.0,0.6172839506172839,0.234192037470726,0.18315018315018314,5,1,2021-08-14 12:30:00,1628940600.0,0.5,0.0,0.5,0.382903981264637,0.382903981264637,0.234192037470726
Watford,Aston Villa,1016.0,984.0,0.2881844380403458,0.3021148036253776,0.4484304932735426,3,2,2021-08-14 15:00:00,1628949600.0,0.5,0.0,0.5,0.3489425981873112,0.3489425981873112,0.3021148036253776
Leicester,Wolves,1016.0,984.0,0.5813953488372093,0.2631578947368421,0.1953125,1,0,2021-08-14 15:00:00,1628949600.0,0.5,0.0,0.5,0.368421052631579,0.368421052631579,0.2631578947368421
Everton,Southampton,1016.0,984.0,0.49019607843137253,0.29411764705882354,0.25380710659898476,3,1,2021-08-14 15:00:00,1628949600.0,0.5,0.0,0.5,0.3529411764705882,0.3529411764705882,0.29411764705882354
Chelsea,Crystal Palace,1016.0,984.0,0.7633587786259541,0.1855287569573284,0.09057971014492755,3,0,2021-08-14 15:00:00,1628949600.0,0.5,0.0,0.5,0.4072356215213358,0.4072356215213358,0.1855287569573284
Burnley,Brighton,984.0,1016.0,0.3115264797507788,0.3205128205128205,0.4065040650406504,1,2,2021-08-14 15:00:00,1628949600.0,0.5,0.0,0.5,0.33974358974358976,0.33974358974358976,0.3205128205128205
Norwich,Liverpool,984.0,1016.0,0.14245014245014245,0.19646365422396858,0.6944444444444444,0,3,2021-08-14 17:30:00,1628958600.0,0.5,0.0,0.5,0.4017681728880157,0.4017681728880157,0.19646365422396858
Newcastle,West Ham,984.0,1016.0,0.29673590504451036,0.2849002849002849,0.45454545454545453,2,4,2021-08-15 14:00:00,1629032400.0,0.5,0.0,0.5,0.3575498575498576,0.3575498575498576,0.2849002849002849
Tottenham,Manchester City,1016.0,984.0,0.1680672268907563,0.24271844660194175,0.6211180124223603,1,0,2021-08-15 16:30:00,1629041400.0,0.5,0.0,0.5,0.3786407766990291,0.3786407766990291,0.24271844660194175
Liverpool,Burnley,1030.5304984710244,969.4695015289755,0.8,0.1545595054095827,0.0831946755407654,2,0,2021-08-21 12:30:00,1629545400.0,0.5459219227804837,0.0,0.4540780772195163,0.4615445004032837,0.38389599418713355,0.1545595054095827
Manchester City,Norwich,1000.0,968.0,0.8849557522123894,0.10152284263959391,0.04266211604095563,5,0,2021-08-21 15:00:00,1629554400.0,0.5,0.0,0.5,0.44923857868020306,0.44923857868020306,0.10152284263959391
Leeds,Everton,985.4695015289755,1014.5304984710245,0.4716981132075471,0.2857142857142857,0.27932960893854747,2,2,2021-08-21 15:00:00,1629554400.0,0.4540780772195163,0.0,0.5459219227804837,0.32434148372822597,0.38994423055748834,0.2857142857142857
Crystal Palace,Brentford,985.4695015289755,1014.5304984710245,0.37593984962406013,0.31545741324921134,0.3448275862068966,0,0,2021-08-21 15:00:00,1629554400.0,0.4540780772195163,0.0,0.5459219227804837,0.310835781566672,0.3737068051841166,0.31545741324921134
Aston Villa,Newcastle,1000.0,968.0,0.5464480874316939,0.2570694087403599,0.2331002331002331,2,0,2021-08-21 15:00:00,1629554400.0,0.5,0.0,0.5,0.37146529562982006,0.37146529562982006,0.2570694087403599
Brighton,Watford,1032.0,1000.0,0.5747126436781609,0.2785515320334262,0.1801801801801802,2,0,2021-08-21 17:30:00,1629563400.0,0.5,0.0,0.5,0.3607242339832869,0.3607242339832869,0.2785515320334262
Wolves,Tottenham,969.4695015289755,1030.5304984710244,0.3401360544217687,0.3236245954692557,0.373134328358209,0,1,2021-08-22 14:00:00,1629637200.0,0.4540780772195163,0.0,0.5459219227804837,0.3071272431678929,0.3692481613628514,0.3236245954692557
Southampton,Manchester Utd,985.4695015289755,1014.5304984710245,0.18656716417910446,0.23752969121140144,0.6097560975609756,1,1,2021-08-22 14:00:00,1629637200.0,0.4540780772195163,0.0,0.5459219227804837,0.3462210517516977,0.41624925703690085,0.23752969121140144
Arsenal,Chelsea,969.4695015289755,1030.5304984710244,0.2169197396963124,0.2824858757062147,0.53475935828877,0,2,2021-08-22 16:30:00,1629646200.0,0.4540780772195163,0.0,0.5459219227804837,0.32580743393716705,0.3917066903566182,0.2824858757062147
West Ham,Leicester,1032.0,1000.0,0.4065040650406504,0.2857142857142857,0.3436426116838488,4,1,2021-08-23 20:00:00,1629745200.0,0.5,0.0,0.5,0.35714285714285715,0.35714285714285715,0.2857142857142857
Manchester City,Arsenal,1014.5976263515939,954.8718751773815,0.7462686567164178,0.1893939393939394,0.10090817356205853,5,0,2021-08-28 12:30:00,1630150200.0,0.5438241765126884,0.0,0.45617582348731156,0.4408271733852853,0.36977888722077523,0.1893939393939394
West Ham,Crystal Palace,1029.869911281273,987.5995902477024,0.641025641025641,0.24449877750611249,0.1529051987767584,2,2,2021-08-28 15:00:00,1630159200.0,0.5665652724602185,0.0,0.4334347275397815,0.4280407559662775,0.32746046652761,0.24449877750611249
