Team,Rating
Brentford,997.9231872149195
Arsenal,970.8072938349519
Manchester Utd,1041.746026486477
Leeds,970.8301077572511
Watford,968.030220670977
Aston Villa,986.0405717086844
Leicester,998.5335898241285
Wolves,972.905232543933
Everton,1044.5479415727498
Southampton,986.7357427696066
Chelsea,1045.1586910813555
Crystal Palace,1006.2249280532252
Burnley,956.99218820099
Brighton,1031.1347239568718
Norwich,937.5340828714051
Liverpool,1044.433585449227
Newcastle,955.5247169272367
West Ham,1027.7998470604243
Tottenham,1026.5027870170957
Manchester City,1030.59453499849
