Team,Rating
Arsenal,1027.172371196758
Everton,1005.9360688800207
Brentford,1012.8835740937978
Leeds,972.6985162899314
Brighton,1024.662965486051
West Ham,971.3654624667537
Burnley,997.98902127301
Newcastle,1045.8589600952798
Chelsea,1009.9432221393776
Watford,915.8792554356478
Crystal Palace,1006.9943725815818
Manchester Utd,976.8656766666207
Leicester,994.872147540161
Southampton,953.0800032900424
Liverpool,1084.8978333139353
Wolves,943.4059307565269
Manchester City,1083.7870805700038
Aston Villa,1001.6730170966557
Norwich,912.7004302132208
Tottenham,1057.3340906146232
