Team,Rating
Brentford,960.9203039761633
Arsenal,1048.195786062088
Manchester Utd,1007.7943436777861
Leeds,973.9584807819957
Watford,943.176637852579
Aston Villa,946.2408649251119
Leicester,1000.6580019274135
Wolves,1004.3786346878209
Everton,985.5189818026911
Southampton,1003.8427855696065
Chelsea,1083.46695886393
Crystal Palace,1027.553487868118
Burnley,957.8818314193109
Brighton,1018.9922814596475
Norwich,915.3653603685141
Liverpool,1061.927187133128
Newcastle,927.3023823460717
West Ham,1073.0042372537912
Tottenham,992.0783206385089
Manchester City,1067.7431313857237
