Team,Rating
Brentford,976.7081895689535
Arsenal,1006.2694180494404
Manchester Utd,1026.819201154521
Leeds,977.9342653426689
Watford,914.3207895987995
Aston Villa,990.4696282930669
Leicester,984.4483240827352
Wolves,1004.5821146785248
Everton,966.0166678305636
Southampton,974.6916627559256
Chelsea,1081.7985172753195
Crystal Palace,972.757639691965
Burnley,945.6452157402082
Brighton,998.5017917176806
Norwich,926.0966055243707
Liverpool,1111.5451084171987
Newcastle,936.570909939735
West Ham,1056.0862542620619
Tottenham,1034.037957243663
Manchester City,1114.6997388325979
