Team,Rating
Brentford,908.1217783561538
Arsenal,1085.3778111914357
Manchester Utd,1071.2809709020555
Leeds,913.858795730543
Watford,868.0774093368285
Aston Villa,941.6446617490534
Leicester,975.8849535791807
Wolves,1052.5357499334787
Everton,901.9820748441941
Southampton,1035.4003269374844
Chelsea,1102.1845908024345
Crystal Palace,961.8144232626177
Burnley,964.2515861481023
Brighton,990.8652249443509
Norwich,886.3707932636502
Liverpool,1154.3278788920063
Newcastle,966.998331588843
West Ham,1019.4451058326692
Tottenham,1035.7497349412233
Manchester City,1163.8277977636938
