Team,Rating
Arsenal,1063.840011922096
Everton,903.3701626034074
Brentford,940.3889946199688
Leeds,940.4018019686301
Brighton,976.0424554456025
West Ham,997.1501684092182
Burnley,945.2399536954147
Newcastle,1012.9192649034097
Chelsea,1068.3364745391918
Watford,841.5595215699375
Crystal Palace,965.0009101322237
Manchester Utd,1030.19417178338
Leicester,992.8507470394061
Southampton,966.8971337938366
Liverpool,1174.873410560368
Wolves,995.6796504986354
Manchester City,1215.8866866866013
Aston Villa,976.6221385051571
Norwich,903.6802350484819
Tottenham,1089.0661062750328
