Team,Rating
Arsenal,1083.181858360884
Everton,863.5850162405188
Brentford,902.7148081718958
Leeds,942.0265380977081
Brighton,972.5302559581498
West Ham,1040.0438820954578
Burnley,955.2172041056108
Newcastle,985.4630368130286
Chelsea,1098.1812189959232
Watford,845.6321172363713
Crystal Palace,995.6073623892294
Manchester Utd,1020.0616855739931
Leicester,1011.5833867608658
Southampton,991.714728127125
Liverpool,1181.5945799283543
Wolves,1018.6260948859788
Manchester City,1204.045612767805
Aston Villa,937.1655229811756
Norwich,885.7059193182085
Tottenham,1065.319171191715
