Team,Rating
Arsenal,1018.0138656062924
Everton,1019.9363133158936
Brentford,997.2633790832149
Leeds,972.6985162899314
Brighton,1043.8716687214417
West Ham,984.82391238324
Burnley,969.6173834538099
Newcastle,1001.1816332027641
Chelsea,1010.8133235782008
Watford,939.3534184814455
Crystal Palace,1023.4088647750875
Manchester Utd,988.690949300741
Leicester,1010.5398648674401
Southampton,941.5407489267533
Liverpool,1059.1489033911248
Wolves,958.9131379456087
Manchester City,1058.4381213093945
Aston Villa,1001.2450784505761
Norwich,940.2997260249464
Tottenham,1060.201190892093
