Team,Rating
Arsenal,1048.4558536883533
Everton,901.700901218839
Brentford,956.2711567867423
Leeds,954.4163126003855
Brighton,995.3369383600242
West Ham,995.8918159150749
Burnley,946.666935558185
Newcastle,1072.8364243526041
Chelsea,1062.059498040275
Watford,865.7595876477542
Crystal Palace,983.1237891903454
Manchester Utd,1022.1712043822877
Leicester,989.1183651053565
Southampton,965.1885675542824
Liverpool,1174.3937587506255
Wolves,1009.6477093424496
Manchester City,1144.5659826663064
Aston Villa,955.9476056386876
Norwich,899.7082003979442
Tottenham,1056.7393928034767
