Team,Rating
Arsenal,1061.6770778705672
Everton,932.4694690127469
Brentford,964.5593533378077
Leeds,917.4535295580546
Brighton,977.8558782097624
West Ham,984.3353153958451
Burnley,978.3957642947358
Newcastle,1081.6783802226364
Chelsea,1074.545162582798
Watford,865.521814451336
Crystal Palace,1001.1700207981149
Manchester Utd,1028.5664709603836
Leicester,989.1183651053565
Southampton,963.8565687509692
Liverpool,1179.6940226035792
Wolves,976.6856723821289
Manchester City,1108.179415112388
Aston Villa,970.4590394743972
Norwich,895.6434697465289
Tottenham,1048.1352101298626
