Team,Rating
Brentford,980.7694132120074
Arsenal,1035.8286054401615
Manchester Utd,1022.3807532530029
Leeds,972.6077369977967
Watford,955.5438184745057
Aston Villa,960.945376172081
Leicester,1002.0087457116125
Wolves,1020.8261485131659
Everton,985.186321925271
Southampton,989.1382743226374
Chelsea,1089.4934145322977
Crystal Palace,1011.105974042773
Burnley,951.8553757509432
Brighton,1023.5046736028489
Norwich,895.5162511326699
Liverpool,1078.9867620101625
Newcastle,922.7899902028703
West Ham,1055.9446623767567
Tottenham,992.4109805159289
Manchester City,1053.156721810507
