Team,Rating
Brentford,975.4045496893765
Arsenal,1073.5621255604317
Manchester Utd,1028.0757546879397
Leeds,937.0777459507162
Watford,836.2244888984261
Aston Villa,956.5132086497125
Leicester,985.2013810063419
Wolves,972.3271551577718
Everton,921.354130768719
Southampton,950.177898509593
Chelsea,1079.1622622298523
Crystal Palace,992.6481871166549
Burnley,965.4264656362107
Brighton,986.3315253953664
Norwich,842.865440611187
Liverpool,1212.9549776415945
Newcastle,1020.3345769946526
West Ham,997.9903462432146
Tottenham,1069.27705008515
Manchester City,1197.0907291670883
