Team,Rating
Fulham,934.5137997442414
Arsenal,942.9216357346444
Crystal Palace,983.2104974402462
Southampton,1033.1509813827124
Liverpool,1104.0607324140765
Leeds,991.8433220915304
West Ham,1030.6746570236455
Newcastle,996.0230426786665
West Brom,909.9687125595715
Leicester,1027.2119357203264
Tottenham,1059.732262427102
Everton,1045.479576024906
Sheffield Utd,852.9808326809505
Wolves,1017.5471042792757
Brighton,953.5088857908609
Chelsea,1029.1812140798704
Manchester Utd,1058.1127945890867
Burnley,959.067219133791
Aston Villa,1018.1743391393733
Manchester City,1052.6364550651217
