Team,Rating
Fulham,920.7676079015168
Arsenal,989.475738394714
Crystal Palace,957.2442487195237
Southampton,950.5637285703808
Liverpool,1034.8886005354939
Leeds,1008.3660895300089
West Ham,1057.9148585602659
Newcastle,936.5823322902759
West Brom,860.7136822006521
Leicester,1083.2858492218866
Tottenham,1004.9932289191443
Everton,1046.3075934749852
Sheffield Utd,871.1685827271049
Wolves,979.9551834585586
Brighton,989.0121387138678
Chelsea,1048.1196147589203
Manchester Utd,1094.6161861079893
Burnley,982.327036574641
Aston Villa,1024.5850686560063
Manchester City,1159.1126306840617
