Team,Rating
Fulham,933.5515827695982
Arsenal,950.7702390519612
Crystal Palace,993.0203814585936
Southampton,1054.421987416796
Liverpool,1076.4772073617175
Leeds,974.0169655612403
West Ham,1032.4842600920142
Newcastle,1013.8493992089565
West Brom,909.9687125595715
Leicester,1027.2119357203264
Tottenham,1075.6963003927447
Everton,1032.9943808232279
Sheffield Utd,861.0447006265861
Wolves,1017.5471042792757
Brighton,954.471102765504
Chelsea,1029.1812140798704
Manchester Utd,1050.048926643451
Burnley,956.1070813030987
Aston Villa,1021.1344769700656
Manchester City,1036.0020409153994
