Team,Rating
Crystal Palace,987.7728512015301
Arsenal,1083.792368441981
Fulham,1018.1625305251869
Liverpool,1014.1058330320498
Tottenham,1051.106172859484
Southampton,952.5722152145669
Newcastle,996.8090011298469
Nottingham,941.0292982409911
Leeds,995.8279943629316
Wolves,976.4913778578325
Bournemouth,986.0227823575482
Aston Villa,976.0830112524186
Everton,1005.0147357689914
Chelsea,1012.1096952990684
Manchester Utd,1035.1555785411044
Brighton,1038.6214098337255
Leicester,918.0240472583987
Brentford,999.2877211134725
West Ham,944.5780650641532
Manchester City,1067.4333106447184
