Team,Rating
Crystal Palace,977.5878350522606
Arsenal,1138.0397769863948
Fulham,1001.6914714945603
Liverpool,1053.407173775986
Tottenham,1048.4892734590544
Southampton,917.2310662632891
Newcastle,1099.5712894765684
Nottingham,939.0037034105939
Leeds,954.4359664087202
Wolves,920.2248752977852
Bournemouth,939.7242857561386
Aston Villa,978.0750850261719
Everton,930.2373174810886
Chelsea,1019.8483048447717
Manchester Utd,1080.0606817143455
Brighton,1014.490650591945
Leicester,957.545268183435
Brentford,1016.5006688838885
West Ham,917.5345449081109
Manchester City,1096.300760984891
